,Job Title,Company,Location,Views,Skills
0,Quality Assurance Engineer,Diagonal Technologies,"Sankhamul, Lalitpur",1879,"['Time', 'Management', 'Problem', 'Solving', 'Creativity', 'Communication', 'Teamwork']"
1,Java Developer (Account Managem…,Smart Data Solution,Kupondole,1962,"['Jquery', 'Css', 'Javascript', 'J2Ee', 'Java']"
2,React Developer,SK Technology,"Remote , Work from home",1408,"['React', 'Sql', 'Javascript']"
3,Python Developer,Diagonal Technologies,"Sankhamul, lalitpur",1054,"['Html', 'Css', 'Odoo', 'Postgresql', 'Python']"
4,React/React Native Developer (M…,SeeLogic International,Nepal,1006,"['Interpersonal', 'Communication', 'Teamwork', 'Time', 'Management']"
5,QA Manager,Hitachi Energy,"Kathmandu, Nepal",1295,"['Analytical', 'Skills', 'Interpersonal', 'Management', 'Communication', 'Problem', 'Solving']"
6,Digital Marketing,Ace Media and Marketing,Kathmandu,894,"['Interpersonal', 'Management', 'Communication', 'Photoshop', 'Illustration']"
7,ReactJS/React Native,Dhuni Software,Kathmandu,502,"['Communication', 'Html', 'Css', 'Javascript']"
8,Sales & Marketing (Hardware Tec…,Shikhar Organization Limited,Pokhara,943,"['Interpersonal', 'Management', 'Marketing', 'Administration']"
9,"Senior Software Engineer (C#, .…",WhiteHat Engineering Inc.,"Kathmandu, Nepal",501,"['Interpersonal', 'Management', 'Communication']"
10,Senior Software Engineer,WhiteHat Engineering Inc.,"Kathmandu, Nepal",313,"['Interpersonal', 'Management', 'Communication']"
11,Assistant Manager (m/f/x),ITONICS Nepal,Kathmandu,2300,"['Php', 'Multi', 'Tasker', 'Documentation', 'Team', 'Player', 'Verbal/Written', 'Communication']"
12,Software Engineer,Hitachi Energy,"Kathmandu , Sitapaila, Kathmandu, Nepal",560,"['Interpersonal', 'Communication', 'Leadership']"
13,Cloud Engineer (AWS/Azure),Thakral One Nepal,"Kathmandu, Nepal",939,"['Interpersonal', 'Communication', 'Leadership']"
14,Infrastructure Engineer,Thakral One Nepal,"Kathmandu, Nepal",762,No skills listed
15,Intern,Thakral One Nepal,"Kathmandu, Nepal",1998,"['Interpersonal', 'Communication', 'Leadership']"
16,Java Developer (Spring),Dzango Technologies Limited,"Kupondole, Lalitpur",459,"['React.Js', 'Html5/Css3', 'Git']"
17,Associate Software Quality Test…,Hitachi Energy,"Kathmandu, Nepal",632,"['Marketing', 'Api', 'Testing', 'And', 'Tools', 'Microsoft', 'Office', 'Applications', 'Word', 'Power', 'Point', 'Excel']"
18,Software Quality Test Engineer,Hitachi Energy,"Kathmandu, Nepal",319,"['Power', 'Point', 'Test', 'Automation', 'Microsoft', 'Office', 'Applications', 'Word', 'Excel']"
19,Assistant Specialist,Ncell,Kathmandu,6761,No skills listed
20,Sales Representative,Ncell,Kathmandu,5910,"['Interpersonal', 'Management', 'Communication', 'Organizational', 'Problem', 'Solving']"
21,Tech Community & Talent Manager,WorldLink Communications,"Jawalakhel, Lalitpur",663,"['Unix', 'Linux', 'Networking', 'Scripting', 'Language']"
22,IT and Infrastructure Assistant…,ITONICS Nepal,Kathmandu,939,"['Database', 'Management', 'Angular', 'Node.Js', 'Python']"
23,IT- Assistant Trainee,Nepal Digital Payments Company Limited,Kathmandu,1091,No skills listed
24,IT- Trainee,Nepal Digital Payments Company Limited,Kathmandu,1132,No skills listed
25,Client Relationship / CSR / Bus…,Teqmint Innovations,"Kathmandu, Nepal",598,"['Communication', 'Interpersonal', 'Management', 'Organizational', 'Problem', 'Solving']"
26,Associate IT Service Manager,Executive Search- merojob,Thapathali,558,"['Interpersonal', 'Management', 'Multitasking', 'Organizational', 'Analytical']"
27,Frontend Developer,Executive Search- merojob,Work From Home,257,"['Integrating', 'Third-Party', 'Apis', 'Proficiency', 'In', 'Dom', 'Manipulation.', 'Html5-Css-Anhular-Javascript-Typescript', 'Bootstrap/Material/Fluent)', 'And', 'Ui', 'Styling', '(Css/Scss/Less)']"
28,Java Developer,Executive Search- merojob,Work from Home,146,"['Spring', 'Boot', 'Core', 'Java', 'Hands-On', 'Sql', 'Server', '&', 'Mysql', 'Springs&Hibernates&Linux', 'Spring']"
29,Senior Java Developer,Executive Search- merojob,Work From Home,100,"['Spring', 'Boot', 'Core', 'Java', 'Spring', 'Rest/Soap', 'Web', 'Services', 'Hands-On', 'Sql', 'Server', '&Amp;', 'Mysql']"
30,Dynamics 365 Technical BC Cons…,SeeLogic International,"Soalteemode , kathmandu",144,"['Project', 'Coordination', 'Communication', 'Crm', 'Project', 'Management', 'Microsoft', 'Office', 'Suite']"
31,Software Developer,SeeLogic International,"Kathmandu, Nepal",259,"['Project', 'Coordination', 'Communication', 'Crm', 'Project', 'Management', 'Microsoft', 'Office', 'Suite']"
32,Head – Digitalization & Automat…,Reliance Life Insurance,"New Baneshwor, Kathmandu",288,"['Interpersonal', 'Management', 'Communication', 'Time', 'Management']"
33,Software Developer,Reliance Life Insurance,"New Baneshwor, Kathmandu",184,"['Interpersonal', 'Management', 'Communication', 'Sql', 'Html5']"
34,Web Designer,EBPearls,Kathmandu,1179,"['Html', 'Jquery', 'Javascript', 'Css3', 'Planning', 'Analytical']"
35,Senior DevOps Engineer,CloudHero,Remote,671,"['Devops', 'Communication', 'Linux', 'Cloud', 'Computing', 'Kubernetes']"
36,Node.js Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur",333,"['Angular', 'Communication', 'Analytical', 'Vue.Js', 'Nosql']"
37,Android Developer,EBPearls,Kandevsthan,259,"['Mvc', 'Architecture', 'Mvvm']"
38,Dot Net Developer,EBPearls,Kandevsthan,307,"['Asp.Net', 'Software', 'Engineering', 'Problem', 'Solving']"
39,Wordpress Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur",266,"['Css', 'Jquery', 'Javascript', 'Html5', 'Sass']"
40,IOS Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur",151,"['Cocoa', 'Touch', 'Coredata', 'Orm', 'And', 'Rdbms']"
41,Quality Analyst,EBPearls,Kandevsthan,298,"['Agile/Scrum', 'Quality', 'Assurance', 'Record', 'Management', 'Problem', 'Solving']"
42,Flutter Developer,EBPearls,Kathmandu,434,"['Critical', 'Thinking', 'Analytical', 'Problem', 'Solving']"
43,Business Analyst,EBPearls,Kathmandu,458,No skills listed
44,Shopify Developer,EBPearls,,315,No skills listed
